,2024-06-30,2023-06-30
Tax Effect Of Unusual Items,-99918000.0,-2850000.0
Tax Rate For Calcs,0.182,0.19
Normalized EBITDA,133558000000.0,105155000000.0
Total Unusual Items,-549000000.0,-15000000.0
Total Unusual Items Excluding Goodwill,-549000000.0,-15000000.0
Net Income From Continuing Operation Net Minority Interest,88136000000.0,72361000000.0
Reconciled Depreciation,22287000000.0,13861000000.0
Reconciled Cost Of Revenue,74114000000.0,65863000000.0
EBITDA,133009000000.0,105140000000.0
EBIT,110722000000.0,91279000000.0
Net Interest Income,222000000.0,1026000000.0
Interest Expense,2935000000.0,1968000000.0
Interest Income,3157000000.0,2994000000.0
Normalized Income,88585082000.0,72373150000.0
Net Income From Continuing And Discontinued Operation,88136000000.0,72361000000.0
Total Expenses,135689000000.0,123392000000.0
Total Operating Income As Reported,109433000000.0,88523000000.0
Diluted Average Shares,7469000000.0,7472000000.0
Basic Average Shares,7431000000.0,7446000000.0
Diluted EPS,11.8,9.68
Basic EPS,11.86,9.72
Diluted NI Availto Com Stockholders,88136000000.0,72361000000.0
Net Income Common Stockholders,88136000000.0,72361000000.0
Net Income,88136000000.0,72361000000.0
Net Income Including Noncontrolling Interests,88136000000.0,72361000000.0
Net Income Continuous Operations,88136000000.0,72361000000.0
Tax Provision,19651000000.0,16950000000.0
Pretax Income,107787000000.0,89311000000.0
Other Income Expense,-1868000000.0,-238000000.0
Other Non Operating Income Expenses,-1319000000.0,-223000000.0
Special Income Charges,-206000000.0,-30000000.0
Write Off,206000000.0,30000000.0
Gain On Sale Of Security,-343000000.0,15000000.0
Net Non Operating Interest Income Expense,222000000.0,1026000000.0
Interest Expense Non Operating,2935000000.0,1968000000.0
Interest Income Non Operating,3157000000.0,2994000000.0
Operating Income,109433000000.0,88523000000.0
Operating Expense,61575000000.0,57529000000.0
Research And Development,29510000000.0,27195000000.0
Selling General And Administration,32065000000.0,30334000000.0
Selling And Marketing Expense,24456000000.0,22759000000.0
General And Administrative Expense,7609000000.0,7575000000.0
Other Gand A,7609000000.0,7575000000.0
Gross Profit,171008000000.0,146052000000.0
Cost Of Revenue,74114000000.0,65863000000.0
Total Revenue,245122000000.0,211915000000.0
Operating Revenue,245122000000.0,211915000000.0
